Placa,Data de Utilizacao,Valor Cobrado,Endereco do Estabelecimento,Nome do Estabelecimento
PXD7G42,22/03/2024,"9,9","SP 300, 137.722, OESTE, PORTO FELIZ - SP",RODOVIAS DAS COLINAS S.A
FYX6I43,22/03/2024,"8,6","SP 075, 12.5, SUL, ITU - SP",CONCESSIONARIA DE RODOVIAS DO OESTE DE SAO PAULO VIAOESTE S.A
GIY1B04,22/03/2024,"15,2","SP 280, 74.0, LESTE, ITU - SP",CONCESSIONARIA DE RODOVIAS DO OESTE DE SAO PAULO VIAOESTE S.A
DWH6543,22/03/2024,"12,4","SP 280, 111.3, LESTE, BOITUVA - SP",RODOVIAS DAS COLINAS S.A
FLX6991,22/03/2024,9,"SP 308 - RODOVIA DO ACUCAR (COMENDADOR MARIO DEDINI), 109.3, SUL, SALTO - SP",CONCESSIONARIA RODOVIAS DO TIETE S.A
FLX6991,22/03/2024,9,"SP 308 - RODOVIA DO ACUCAR (COMENDADOR MARIO DEDINI), 109.3, NORTE, SALTO - SP",CONCESSIONARIA RODOVIAS DO TIETE S.A
QQH3H11,22/03/2024,"15,2","SP 280, 74.0, LESTE, ITU - SP",CONCESSIONARIA DE RODOVIAS DO OESTE DE SAO PAULO VIAOESTE S.A
DFJ9195,22/03/2024,"8,6","SP 075, 12.5, SUL, ITU - SP",CONCESSIONARIA DE RODOVIAS DO OESTE DE SAO PAULO VIAOESTE S.A
QUA2G54,22/03/2024,"8,6","SP 075, 12.5, SUL, ITU - SP",CONCESSIONARIA DE RODOVIAS DO OESTE DE SAO PAULO VIAOESTE S.A
DWH6543,23/03/2024,"9,9","SP 300, 137.722, OESTE, PORTO FELIZ - SP",RODOVIAS DAS COLINAS S.A
QUA2G54,23/03/2024,"8,6","SP 075, 12.5, SUL, ITU - SP",CONCESSIONARIA DE RODOVIAS DO OESTE DE SAO PAULO VIAOESTE S.A
960993,23/03/2024,1000,Automatica-CARTAO_DE_CREDITO,
DWH6543,25/03/2024,"12,4","SP 280, 111.3, LESTE, BOITUVA - SP",RODOVIAS DAS COLINAS S.A
QUA2G54,25/03/2024,"8,6","SP 075, 12.5, SUL, ITU - SP",CONCESSIONARIA DE RODOVIAS DO OESTE DE SAO PAULO VIAOESTE S.A
FLX6991,25/03/2024,"19,8","SP 300, 137.722, OESTE, PORTO FELIZ - SP",RODOVIAS DAS COLINAS S.A
FLX6991,25/03/2024,"24,8","SP 280, 111.3, LESTE, BOITUVA - SP",RODOVIAS DAS COLINAS S.A
FYX6I43,25/03/2024,"8,6","SP 075, 12.5, SUL, ITU - SP",CONCESSIONARIA DE RODOVIAS DO OESTE DE SAO PAULO VIAOESTE S.A
GIY1B04,25/03/2024,"15,2","SP 280, 74.0, LESTE, ITU - SP",CONCESSIONARIA DE RODOVIAS DO OESTE DE SAO PAULO VIAOESTE S.A
DFJ9195,25/03/2024,"8,6","SP 075, 12.5, SUL, ITU - SP",CONCESSIONARIA DE RODOVIAS DO OESTE DE SAO PAULO VIAOESTE S.A
DWH6543,25/03/2024,"9,9","SP 300, 137.722, OESTE, PORTO FELIZ - SP",RODOVIAS DAS COLINAS S.A
