Placa,Data de Utilizacao,Valor Cobrado,Endereco do Estabelecimento,Nome do Estabelecimento
PXD7G42,18/04/2024,"9,9","SP 300, 137.722, OESTE, PORTO FELIZ - SP",RODOVIAS DAS COLINAS S.A
GIA7B06,18/04/2024,"8,6","SP 075, 12.5, SUL, ITU - SP",CONCESSIONARIA DE RODOVIAS DO OESTE DE SAO PAULO VIAOESTE S.A
BQU4D69,18/04/2024,"14,3","SP 127, 133.9, SUL, ITAPETININGA - SP",RODOVIAS INTEGRADAS DO OESTE S.A
PXD7G42,18/04/2024,"9,9","SP 300, 137.722, OESTE, PORTO FELIZ - SP",
BQU4D69,18/04/2024,"14,3","SP 127, 128.9, NORTE, TATUI - SP",RODOVIAS INTEGRADAS DO OESTE S.A
FLL4673,18/04/2024,"8,9","SP 300 - RODOVIA MARECHAL RONDON, 192.1, OESTE, CONCHAS - SP",
PXD7G42,18/04/2024,"12,4","SP 280, 110.4, OESTE, BOITUVA - SP",RODOVIAS DAS COLINAS S.A
PWS9889,18/04/2024,"5,1","SP 270, 111.0, LESTE, ARACOIABA DA SERRA - SP",CONCESSIONARIA DE RODOVIAS DO OESTE DE SAO PAULO VIAOESTE S.A
QUA2G54,18/04/2024,"8,6","SP 075, 12.5, SUL, ITU - SP",CONCESSIONARIA DE RODOVIAS DO OESTE DE SAO PAULO VIAOESTE S.A
GIY1B04,18/04/2024,"15,2","SP 280, 74.0, LESTE, ITU - SP",CONCESSIONARIA DE RODOVIAS DO OESTE DE SAO PAULO VIAOESTE S.A
PWS9889,18/04/2024,"5,1","SP 270, 111.0, OESTE, ARACOIABA DA SERRA - SP",CONCESSIONARIA DE RODOVIAS DO OESTE DE SAO PAULO VIAOESTE S.A
FEA0472,18/04/2024,"9,9","SP 300, 137.722, OESTE, PORTO FELIZ - SP",RODOVIAS DAS COLINAS S.A
FLL4673,18/04/2024,"8,9","SP 300 - RODOVIA MARECHAL RONDON, 192.1, LESTE, CONCHAS - SP",CONCESSIONARIA RODOVIAS DO TIETE S.A
PXD7G42,19/04/2024,"9,9","SP 300, 137.722, OESTE, PORTO FELIZ - SP",RODOVIAS DAS COLINAS S.A
DFJ9195,19/04/2024,"8,6","SP 075, 12.5, SUL, ITU - SP",CONCESSIONARIA DE RODOVIAS DO OESTE DE SAO PAULO VIAOESTE S.A
DWH6543,19/04/2024,"12,4","SP 280, 111.3, LESTE, BOITUVA - SP",RODOVIAS DAS COLINAS S.A
